n_samples,epsilon,run_idx,seed,dp_mse_truth,dp_runtime_s,timestamp
300,0.5,13,300063,0.004740174178216702,0.022302957717329264,2026-04-30 20:35:13
300,0.5,14,300064,0.0058397222711149156,0.02135895797982812,2026-04-30 20:35:13
300,0.5,11,300061,0.010667874290377952,0.03776658419519663,2026-04-30 20:35:13
300,0.5,19,300069,0.02448610140745028,0.01760183274745941,2026-04-30 20:35:13
300,0.5,17,300067,0.0070803271188858005,0.024373082909733057,2026-04-30 20:35:13
300,0.5,15,300065,0.004686032789285709,0.029436999931931496,2026-04-30 20:35:13
300,0.5,18,300068,0.02376578710754783,0.02448637504130602,2026-04-30 20:35:13
300,0.5,16,300066,0.0073495195646576215,0.032111375126987696,2026-04-30 20:35:13
300,1.0,0,300100,0.00407012593370558,0.01837045792490244,2026-04-30 20:35:16
300,1.0,1,300101,0.002890667063582397,0.0177864171564579,2026-04-30 20:35:16
300,1.0,2,300102,0.002165183521286231,0.023167958948761225,2026-04-30 20:35:16
300,1.0,3,300103,0.008742111652094877,0.031198584008961916,2026-04-30 20:35:16
300,1.0,5,300105,0.011266281784896923,0.01956795807927847,2026-04-30 20:35:16
300,1.0,6,300106,0.009649142902743798,0.019118207972496748,2026-04-30 20:35:16
300,1.0,4,300104,0.007585062385017675,0.039240042213350534,2026-04-30 20:35:16
300,1.0,11,300111,0.0033516656014039212,0.017897916957736015,2026-04-30 20:35:16
300,1.0,7,300107,0.002255642493007324,0.02583608264103532,2026-04-30 20:35:16
300,1.0,8,300108,0.0026679807854327357,0.025380374863743782,2026-04-30 20:35:16
300,1.0,10,300110,0.0020122300179904722,0.024546083062887192,2026-04-30 20:35:16
300,1.0,9,300109,0.0024925184382443236,0.026517499703913927,2026-04-30 20:35:16
300,1.0,13,300113,0.009285087516858253,0.0246266252361238,2026-04-30 20:35:16
300,1.0,14,300114,0.003987820710285561,0.02221074979752302,2026-04-30 20:35:16
300,1.0,12,300112,0.0024409701114657904,0.025760000105947256,2026-04-30 20:35:16
300,1.0,15,300115,0.003860747595011575,0.024570417124778032,2026-04-30 20:35:16
300,1.0,18,300118,0.00499469574323323,0.018319000024348497,2026-04-30 20:35:16
