n_samples,epsilon,run_idx,seed,pms_mse_truth,pms_runtime_s,timestamp
300,0.2,12,2300032,0.0005923455371834986,0.013154457788914442,2026-04-30 20:35:08
300,0.2,13,2300033,0.0005923455371834986,0.013017874676734209,2026-04-30 20:35:08
300,0.2,14,2300034,0.0005923455371834986,0.012861167080700397,2026-04-30 20:35:08
300,0.2,15,2300035,0.0005923455371834986,0.012706833891570568,2026-04-30 20:35:08
300,0.2,16,2300036,0.0005923455371834986,0.012632959056645632,2026-04-30 20:35:08
300,0.2,17,2300037,0.0005923455371834986,0.01267645787447691,2026-04-30 20:35:08
300,0.2,18,2300038,0.0005923455371834986,0.012638542335480452,2026-04-30 20:35:08
300,0.2,19,2300039,0.0005923455371834986,0.012671374715864658,2026-04-30 20:35:08
300,0.5,0,2300050,0.0005923455371834986,0.013300333172082901,2026-04-30 20:35:11
300,0.5,1,2300051,0.0005923455371834986,0.012734082993119955,2026-04-30 20:35:11
300,0.5,2,2300052,0.0005923455371834986,0.012841375079005957,2026-04-30 20:35:11
300,0.5,3,2300053,0.0005923455371834986,0.012790499720722437,2026-04-30 20:35:11
300,0.5,4,2300054,0.0005923455371834986,0.012783624697476625,2026-04-30 20:35:11
300,0.5,5,2300055,0.0005923455371834986,0.012731332797557116,2026-04-30 20:35:11
300,0.5,6,2300056,0.0005923455371834986,0.012612082995474339,2026-04-30 20:35:11
300,0.5,7,2300057,0.0005923455371834986,0.01269258325919509,2026-04-30 20:35:11
300,0.5,8,2300058,0.0005923455371834986,0.012686209287494421,2026-04-30 20:35:11
300,0.5,9,2300059,0.0005923455371834986,0.012659833766520023,2026-04-30 20:35:11
300,0.5,10,2300060,0.0005923455371834986,0.012683041859418154,2026-04-30 20:35:11
300,0.5,11,2300061,0.0005923455371834986,0.012665957678109407,2026-04-30 20:35:11
300,0.5,12,2300062,0.0005923455371834986,0.012627374846488237,2026-04-30 20:35:11
300,0.5,13,2300063,0.0005923455371834986,0.012712417170405388,2026-04-30 20:35:11
300,0.5,14,2300064,0.0005923455371834986,0.012592916376888752,2026-04-30 20:35:11
300,0.5,15,2300065,0.0005923455371834986,0.012654250022023916,2026-04-30 20:35:11
300,0.5,16,2300066,0.0005923455371834986,0.012660542037338018,2026-04-30 20:35:11
300,0.5,17,2300067,0.0005923455371834986,0.012651499826461077,2026-04-30 20:35:11
300,0.5,18,2300068,0.0005923455371834986,0.012595125008374453,2026-04-30 20:35:11
300,0.5,19,2300069,0.0005923455371834986,0.012762042228132486,2026-04-30 20:35:11
300,1.0,0,2300100,0.0005923455371834986,0.013677040580660105,2026-04-30 20:35:14
300,1.0,1,2300101,0.0005923455371834986,0.012848207727074623,2026-04-30 20:35:14
