n_samples,epsilon,run_idx,data_seed,dp_seed,dp_mse,dp_runtime_s,timestamp
1000,0.5,13,150005013,170005013,0.025051198805869507,0.036839500069618225,2026-04-30 20:33:47
1000,0.5,14,150005014,170005014,0.020511932271913745,0.0481535829603672,2026-04-30 20:33:47
1000,0.5,15,150005015,170005015,0.030858056859870538,0.039579750038683414,2026-04-30 20:33:47
1000,0.5,16,150005016,170005016,0.025112130872776084,0.02744937501847744,2026-04-30 20:33:47
1000,0.5,19,150005019,170005019,0.023958196232990878,0.026256749872118235,2026-04-30 20:33:47
1000,0.5,17,150005017,170005017,0.022895399376704435,0.027087874710559845,2026-04-30 20:33:47
1000,0.5,18,150005018,170005018,0.02190836734179536,0.02691062493249774,2026-04-30 20:33:47
1000,1.0,0,150010000,170010000,0.02569575096939166,0.06337266694754362,2026-04-30 20:33:50
1000,1.0,1,150010001,170010001,0.02838796927794248,0.04663774976506829,2026-04-30 20:33:50
1000,1.0,3,150010003,170010003,0.023344273536039108,0.04267283296212554,2026-04-30 20:33:50
1000,1.0,2,150010002,170010002,0.027744724401025597,0.04029154125601053,2026-04-30 20:33:50
1000,1.0,5,150010005,170010005,0.022819079728903926,0.035066541749984026,2026-04-30 20:33:50
1000,1.0,4,150010004,170010004,0.023101450944479823,0.04407449997961521,2026-04-30 20:33:50
1000,1.0,6,150010006,170010006,0.019158651008392574,0.0317302499897778,2026-04-30 20:33:50
1000,1.0,7,150010007,170010007,0.02627562002955931,0.03450266690924764,2026-04-30 20:33:50
1000,1.0,8,150010008,170010008,0.02401669229210265,0.04215950006619096,2026-04-30 20:33:50
1000,1.0,12,150010012,170010012,0.02455169890656565,0.032574750017374754,2026-04-30 20:33:50
1000,1.0,10,150010010,170010010,0.022895286468375197,0.037881333380937576,2026-04-30 20:33:50
1000,1.0,11,150010011,170010011,0.02412997143502852,0.04039633413776755,2026-04-30 20:33:50
1000,1.0,14,150010014,170010014,0.021876951060965908,0.029301750008016825,2026-04-30 20:33:50
1000,1.0,9,150010009,170010009,0.02491422577115824,0.057063333224505186,2026-04-30 20:33:50
1000,1.0,13,150010013,170010013,0.026808521707039595,0.04068220918998122,2026-04-30 20:33:50
1000,1.0,15,150010015,170010015,0.0261078926877153,0.03477404220029712,2026-04-30 20:33:50
1000,1.0,16,150010016,170010016,0.02183346783666886,0.03621337516233325,2026-04-30 20:33:50
1000,1.0,19,150010019,170010019,0.029320472715867157,0.027970583643764257,2026-04-30 20:33:50
1000,1.0,17,150010017,170010017,0.01996532912940037,0.028063457924872637,2026-04-30 20:33:50
1000,1.0,18,150010018,170010018,0.028531386227083243,0.026222333777695894,2026-04-30 20:33:50
2000,0.1,0,250001000,270001000,0.02947618754550313,0.06861183326691389,2026-04-30 20:33:53
2000,0.1,1,250001001,270001001,0.035298712947832704,0.08030045917257667,2026-04-30 20:33:53
2000,0.1,2,250001002,270001002,0.04431846020145793,0.07062466721981764,2026-04-30 20:33:53
2000,0.1,3,250001003,270001003,0.05086099332656294,0.05500045884400606,2026-04-30 20:33:53
2000,0.1,4,250001004,270001004,0.04999454858278655,0.050010334234684706,2026-04-30 20:33:53
2000,0.1,5,250001005,270001005,0.03228047631116396,0.05767312506213784,2026-04-30 20:33:53
2000,0.1,7,250001007,270001007,0.0403964194489363,0.0503008752129972,2026-04-30 20:33:53
2000,0.1,6,250001006,270001006,0.05130895784301545,0.06635029194876552,2026-04-30 20:33:53
2000,0.1,8,250001008,270001008,0.037189122359147765,0.04820324992761016,2026-04-30 20:33:53
2000,0.1,9,250001009,270001009,0.03666428391109743,0.056784875225275755,2026-04-30 20:33:53
2000,0.1,10,250001010,270001010,0.049914713987766146,0.061902832705527544,2026-04-30 20:33:54
2000,0.1,13,250001013,270001013,0.05245811567410945,0.0621904581785202,2026-04-30 20:33:54
2000,0.1,12,250001012,270001012,0.03202620056572842,0.051416459027677774,2026-04-30 20:33:54
2000,0.1,11,250001011,270001011,0.053598406718212914,0.05151404207572341,2026-04-30 20:33:54
2000,0.1,15,250001015,270001015,0.047186542250871336,0.05401262501254678,2026-04-30 20:33:54
2000,0.1,14,250001014,270001014,0.038368316164604545,0.05303962482139468,2026-04-30 20:33:54
2000,0.1,16,250001016,270001016,0.03306031798717589,0.03921412490308285,2026-04-30 20:33:54
2000,0.1,17,250001017,270001017,0.037814861070886475,0.03903858317062259,2026-04-30 20:33:54
2000,0.1,18,250001018,270001018,0.047337398692062056,0.03799279220402241,2026-04-30 20:33:54
2000,0.1,19,250001019,270001019,0.07143747182060192,0.036901000421494246,2026-04-30 20:33:54
2000,0.2,0,250002000,270002000,0.029180902212421395,0.0596773331053555,2026-04-30 20:33:56
2000,0.2,2,250002002,270002002,0.031874961376411375,0.06090395897626877,2026-04-30 20:33:56
2000,0.2,1,250002001,270002001,0.033143416807910185,0.06949458317831159,2026-04-30 20:33:56
2000,0.2,4,250002004,270002004,0.021791166660593015,0.050361250061541796,2026-04-30 20:33:56
2000,0.2,3,250002003,270002003,0.030019852220018774,0.06811820901930332,2026-04-30 20:33:56
2000,0.2,6,250002006,270002006,0.02701193540389553,0.06361600011587143,2026-04-30 20:33:56
2000,0.2,5,250002005,270002005,0.02433213549217889,0.050578208174556494,2026-04-30 20:33:56
2000,0.2,7,250002007,270002007,0.02449197401582483,0.05874291667714715,2026-04-30 20:33:57
2000,0.2,8,250002008,270002008,0.023436873212303047,0.0472142081707716,2026-04-30 20:33:57
2000,0.2,10,250002010,270002010,0.02069482039102193,0.05783504107967019,2026-04-30 20:33:57
2000,0.2,9,250002009,270002009,0.03052606504797532,0.08043149998411536,2026-04-30 20:33:57
2000,0.2,13,250002013,270002013,0.028568676107683648,0.04945391695946455,2026-04-30 20:33:57
2000,0.2,11,250002011,270002011,0.022504879736311014,0.07239695778116584,2026-04-30 20:33:57
2000,0.2,12,250002012,270002012,0.027044371270228195,0.03937633382156491,2026-04-30 20:33:57
2000,0.2,15,250002015,270002015,0.026528342472706336,0.048392875120043755,2026-04-30 20:33:57
2000,0.2,14,250002014,270002014,0.029750867776765933,0.04814520897343755,2026-04-30 20:33:57
2000,0.2,16,250002016,270002016,0.02488099394161722,0.04432954080402851,2026-04-30 20:33:57
2000,0.2,17,250002017,270002017,0.027580705205338684,0.04033779073506594,2026-04-30 20:33:57
2000,0.2,18,250002018,270002018,0.02637658034120087,0.04088033316656947,2026-04-30 20:33:57
2000,0.2,19,250002019,270002019,0.02201985628210242,0.04156600032001734,2026-04-30 20:33:57
2000,0.5,0,250005000,270005000,0.02597268582180548,0.06598579185083508,2026-04-30 20:34:00
2000,0.5,1,250005001,270005001,0.018320146251339802,0.05445595923811197,2026-04-30 20:34:00
2000,0.5,2,250005002,270005002,0.023322098238941803,0.07295599998906255,2026-04-30 20:34:00
2000,0.5,3,250005003,270005003,0.02528996746862435,0.05907879211008549,2026-04-30 20:34:00
2000,0.5,4,250005004,270005004,0.020515681629651988,0.0528524168767035,2026-04-30 20:34:00
2000,0.5,7,250005007,270005007,0.02080208917924223,0.059043416287750006,2026-04-30 20:34:00
2000,0.5,5,250005005,270005005,0.020552807572633267,0.058550165966153145,2026-04-30 20:34:00
2000,0.5,6,250005006,270005006,0.019767235377353996,0.06596412509679794,2026-04-30 20:34:00
2000,0.5,9,250005009,270005009,0.02378398325175597,0.05192025005817413,2026-04-30 20:34:00
2000,0.5,8,250005008,270005008,0.023685175773308774,0.0560734998434782,2026-04-30 20:34:00
2000,0.5,11,250005011,270005011,0.02299008611644923,0.04977579228579998,2026-04-30 20:34:00
2000,0.5,10,250005010,270005010,0.019535108495703855,0.07274837512522936,2026-04-30 20:34:00
