n_samples,epsilon,run_idx,data_seed,dp_seed,pms_mse,pms_runtime_s,dp_mse,dp_runtime_s,timestamp
200,1.0,6,70010006,90010006,0.02716538642212096,0.014459374826401472,0.058158924629669984,0.03377004200592637,2026-04-30 20:33:28
200,1.0,9,70010009,90010009,0.04116678932876724,0.02340641664341092,0.04930573070395224,0.016962916124612093,2026-04-30 20:33:28
200,1.0,11,70010011,90010011,0.04728980021202565,0.02013333421200514,0.06732917759129917,0.020442249719053507,2026-04-30 20:33:28
200,1.0,14,70010014,90010014,0.027663552837996673,0.010940874926745892,0.05336999160247138,0.015401666983962059,2026-04-30 20:33:28
200,1.0,12,70010012,90010012,0.04946184888085474,0.00880574993789196,0.0846208794608759,0.029204375110566616,2026-04-30 20:33:28
200,1.0,16,70010016,90010016,0.026952253068463737,0.009691249579191208,0.042060575715099725,0.020754291210323572,2026-04-30 20:33:28
200,1.0,13,70010013,90010013,0.02949464191575099,0.017522749956697226,0.06374585512707193,0.022901291958987713,2026-04-30 20:33:28
200,1.0,15,70010015,90010015,0.033379732082596515,0.016969208139926195,0.07369461772037951,0.016464874614030123,2026-04-30 20:33:28
200,1.0,18,70010018,90010018,0.03184638902170898,0.010500708129256964,0.056292145524352535,0.016446208115667105,2026-04-30 20:33:28
200,1.0,17,70010017,90010017,0.03639924437897061,0.00887041725218296,0.04604148245670688,0.022778125014156103,2026-04-30 20:33:28
200,1.0,19,70010019,90010019,0.033829349601242016,0.011041666846722364,0.0627894345854663,0.013560208026319742,2026-04-30 20:33:28
500,0.1,0,100001000,120001000,0.021246701303770373,0.03658341709524393,0.1668013785477481,0.03771058330312371,2026-04-30 20:33:30
500,0.1,1,100001001,120001001,0.019772160898925358,0.061494833789765835,0.14135694357087544,0.029134916607290506,2026-04-30 20:33:30
500,0.1,2,100001002,120001002,0.021554411896600668,0.038537791930139065,0.1279847733934805,0.038279457949101925,2026-04-30 20:33:30
500,0.1,4,100001004,120001004,0.01789824048724259,0.03985191602259874,0.20648885122360738,0.024322499986737967,2026-04-30 20:33:30
500,0.1,3,100001003,120001003,0.02150832745861191,0.04676433280110359,0.23227701968024927,0.03816995909437537,2026-04-30 20:33:30
500,0.1,5,100001005,120001005,0.01919503514220919,0.03944595856592059,0.17607813030650185,0.02237700019031763,2026-04-30 20:33:30
500,0.1,6,100001006,120001006,0.022834107939381943,0.05091550014913082,0.16227095408986753,0.027522540651261806,2026-04-30 20:33:30
500,0.1,9,100001009,120001009,0.02168581912838438,0.042714249808341265,0.16659527789761117,0.02678416622802615,2026-04-30 20:33:30
500,0.1,7,100001007,120001007,0.024369256186851502,0.04161791689693928,0.2194148327685122,0.04631558386608958,2026-04-30 20:33:30
500,0.1,8,100001008,120001008,0.018125506309424305,0.04192254180088639,0.16480185730346095,0.02943579200655222,2026-04-30 20:33:30
500,0.1,10,100001010,120001010,0.023712021691707167,0.04791720770299435,0.13782875221548482,0.03326724981889129,2026-04-30 20:33:30
500,0.1,12,100001012,120001012,0.023738600104315048,0.0422075423412025,0.13121142048465217,0.034541542176157236,2026-04-30 20:33:30
500,0.1,11,100001011,120001011,0.019621977538711286,0.05938362516462803,0.17865224258158718,0.03659287514165044,2026-04-30 20:33:30
500,0.1,16,100001016,120001016,0.018921319952987414,0.04150579171255231,0.18982085786170907,0.026270915754139423,2026-04-30 20:33:30
500,0.1,15,100001015,120001015,0.022030904188713833,0.03638562513515353,0.13797996475946755,0.035267166793346405,2026-04-30 20:33:30
500,0.1,13,100001013,120001013,0.022899111677485512,0.044099041260778904,0.18752998750498567,0.04585220804437995,2026-04-30 20:33:30
500,0.1,14,100001014,120001014,0.02788324251619158,0.04500308306887746,0.1593803315788615,0.03827183414250612,2026-04-30 20:33:30
500,0.1,17,100001017,120001017,0.02350196584313678,0.035655499901622534,0.14550492151769834,0.021042624954134226,2026-04-30 20:33:30
500,0.1,18,100001018,120001018,0.019504263571260602,0.03596037533134222,0.18610919950988364,0.022477666847407818,2026-04-30 20:33:30
500,0.1,19,100001019,120001019,0.020838472224916322,0.030889916233718395,0.19445604500541253,0.020169999916106462,2026-04-30 20:33:30
500,0.2,0,100002000,120002000,0.02362047616281203,0.06248524971306324,0.09523069731139504,0.04151412472128868,2026-04-30 20:33:32
500,0.2,1,100002001,120002001,0.024356054365970187,0.05762470792979002,0.10773444698613117,0.047016166150569916,2026-04-30 20:33:33
500,0.2,2,100002002,120002002,0.022641634830241873,0.05282458337023854,0.05161800274457627,0.03363954182714224,2026-04-30 20:33:33
500,0.2,4,100002004,120002004,0.020041778211847706,0.042181083001196384,0.04910358906740969,0.044386875350028276,2026-04-30 20:33:33
500,0.2,3,100002003,120002003,0.02111645705463539,0.04678304214030504,0.05004347438010311,0.05147987511008978,2026-04-30 20:33:33
500,0.2,5,100002005,120002005,0.020698269260939206,0.055068125016987324,0.07705588015092407,0.045204125344753265,2026-04-30 20:33:33
500,0.2,6,100002006,120002006,0.019198378089222666,0.049376375041902065,0.0637521480828823,0.04005533317103982,2026-04-30 20:33:33
500,0.2,7,100002007,120002007,0.02157925650054563,0.04106179205700755,0.11066451239137678,0.03615779196843505,2026-04-30 20:33:33
500,0.2,8,100002008,120002008,0.021195477681849498,0.052875792142003775,0.054255630348649185,0.03789350017905235,2026-04-30 20:33:33
500,0.2,10,100002010,120002010,0.02308435435130599,0.05041608400642872,0.051643379121604306,0.03428750019520521,2026-04-30 20:33:33
500,0.2,11,100002011,120002011,0.019217308860766374,0.04539166670292616,0.07157617157629872,0.023642208892852068,2026-04-30 20:33:33
500,0.2,9,100002009,120002009,0.01939869471975656,0.06876604119315743,0.10266110051062223,0.03627091692760587,2026-04-30 20:33:33
500,0.2,12,100002012,120002012,0.02382956977738754,0.03648483334109187,0.06718706609907145,0.03900512494146824,2026-04-30 20:33:33
500,0.2,14,100002014,120002014,0.01985384148456425,0.03245904203504324,0.07637436885231495,0.02483395766466856,2026-04-30 20:33:33
